Contrast,H,Label,Broadmann Area,"Bi-sided 
 Voxels",Total Voxels,Peak coordinate X,Peak coordinate Y,Peak coordinate Z,Bi-sided Threshold Voxels,Two-sided Threshold Voxels,Peak t cluster
Mixed_Framing > Verbatim_NoFraming (Ado),L,"37.8 % overlap with Left Calcarine Gyrus, code 43
  
  31.7 % overlap with Left Middle Occipital Gyrus, code 51
  
  19.4 % overlap with Left Superior Occipital Gyrus, code 49",N/A,304*,304*,-18,-104,10,157,157,4.304214
,R,"73.9 % overlap with Right Calcarine Gyrus, code 44",N/A,240*,240*,10,-102,0,,,3.815947
,,,,,,,,,,,
Mixed_Framing > Verbatim_NoFraming (Adu),R,"45.7 % overlap with Right Calcarine Gyrus, code 44
  
  14.7 % overlap with Right Cuneus, code 46
  
  11.2 % overlap with
  Right Superior Occipital Gyrus, code 50",N/A,798*,798*,12,-100,20,149,149,-4.447604
,L,"39.4 % overlap with Left Middle Occipital Gyrus, code 51
  
  28.7 % overlap with Left Calcarine Gyrus, code 43",Left-SecVisual (18),569*,560*,-8,-104,-6,,,-3.878239
Gist_Framing > Verbatim_NoFraming (Ado),R,"35.2 % overlap with Right Cuneus, code 46
  
  31.8 % overlap with Right Calcarine Gyrus, code 44
  
  31.0 % overlap with Right Superior Occipital Gyrus, code 50",N/A,169*,169*,10,-94,28,155,155,3.569355
,,,,,,,,,,,
SmalFraming>LargeFraming (Ado),L,"34.9 % overlap with Left_Inferior_Parietal_Lobule, code 61",N/A,371*,371*,-40,-64,62,152,152,-3.624
,L,"61.5 % overlap with Left_Superior_Occipital_Gyrus, code 49
  
  27.9 % overlap with Left_Middle_Occipital_Gyrus, code 51",N/A,219*,219*,-12,-94,34,,,3.821
,L,"42.4 % overlap with Left_Precentral_Gyrus, code 1
  
  17.5 % overlap with Left_Middle_Frontal_Gyrus, code 7",N/A,192*,192*,-46,2,62,,,-4.516
,,,,,,,,,,,
SmallFraming>LargeFraming (Adu),R,"57.5 % overlap with Right_Inferior_Parietal_Lobule, code 62
  
  30.6 % overlap with Right_Angular_Gyrus, code 66",N/A,852*,852*,36,-62,62,143,143,-3.325
,L,"28.2 % overlap with Left_Cerebellum_(Crus_1), code 91
  
  23.4 % overlap with Left_Cerebellum_(Crus_2), code 93
  
  22.2 % overlap with Right_Cerebellum_(Crus_2), code 94
  
  10.8 % overlap with Right_Cerebellum_(Crus_1), code 92",N/A,433*,433*,2,-84,-18,,,-3.67
,L,"57.1 % overlap with Left_Inferior_Parietal_Lobule, code 61
  
  27.0 % overlap with Left_Superior_Parietal_Lobule, code 59
  
  11.6 % overlap with Left_Angular_Gyrus, code 65",N/A,394*,394*,-32,-72,58,,,-3.296
,R,"43.1 % overlap with Right_SMA, code 20
  
  21.0 % overlap with Left_SMA, code 19
  
  18.4 % overlap with Right_Superior_Medial_Gyrus, code 24
  
  14.4 % overlap with Left_Superior_Medial_Gyrus, code 23",Right-FrontEyeFields(8),299*,299*,2,20,50,,,-4.19
,R,"45.2 % overlap with Right_Cerebellum_(Crus_1), code 92
  
  42.3 % overlap with Right_Cerebellum_(Crus_2), code 94",N/A,237*,237*,44,-74,-24,,,-3.531
,L,"92.8 % overlap with Left_Cerebellum_(Crus_1), code 91",N/A,201*,201*,-40,-74,-22,,,-3.387
,R,"62.3 % overlap with Right_Middle_Frontal_Gyrus, code 8",N/A,169*,169,40,8,66,,,-4.126
,R,"81.6 % overlap with Right_Postcentral_Gyrus, code 58
  
  16.3 % overlap with Right_Superior_Parietal_Lobule, code 60",Right-PrimSensory(1),147*,147,36,-40,62,,,3.488
LargeFraming > LargeNoFraming (Adu),R,"59.1 % overlap with Right_Postcentral_Gyrus, code 58
  
  32.2 % overlap with Right_Precentral_Gyrus, code 2",N/A,172*,172*,48,-32,-68,137,137,4.071
LargeNoFraming > LargeFraming (Adu),R,"59.1 % overlap with Right_Postcentral_Gyrus, code 58
  
 32.2 % overlap with Right_Precentral_Gyrus, code 2",N / A,172*,172*,48,-32,68,139,139,-4.071
MediumLargeFraming>MediumLargeNoFraming (Adu),L,"43.2 % overlap with Left_Middle_Occipital_Gyrus, code 51
  
  18.4 % overlap with Left_Inferior_Occipital_Gyrus, code 53",Left-SecVisual(18),187*,187*,-14,-106,-2,139,139,-3.78
MediumLargeNoFraming > MediumLargeFraming (Adu),L,"43.2 % overlap with Left_Middle_Occipital_Gyrus, code 51
  18.4 % overlap with Left_Inferior_Occipital_Gyrus, code 53",Left-SecVisual(18),187*,187*,-14,-106,-2,137,137,3.778
LossRisk>LossSure (Ado),R,"60.1 % overlap with Right_Calcarine_Gyrus, code 44
  
  14.2 % overlap with 
 Right_Cuneus, code 46
  
  10.4 % overlap with Right_Inferior_Occipital_Gyrus, code 54",Right-PrimVisual(17),228*,228*,14,-102,-4,139,139,-3.624
,L,"52.9 % overlap with Left_Middle_Occipital_Gyrus, code 51
  
  35.3 % overlap with Left_Inferior_Occipital_Gyrus, code 53",Left-SecVisual(18),211*,211*,-14,-104,6,,,-4.35
LossRisk>LossSure (Adu),R,"31.5 % overlap with Right_Calcarine_Gyrus, code 44
  
  24.1 % overlap with Right_Cuneus, code 46
  
  15.5 % overlap with Right_Superior_Occipital_Gyrus, code 50",N / A,175*,175*,18,-102,16,139,139,-3.787
,L,"58.4 % overlap with Left_Middle_Occipital_Gyrus, code 51
  
  8.7 % overlap with Left_Superior_Occipital_Gyrus, code 49
  
  3.4 % overlap with Left_Calcarine_Gyrus, code 43",N / A,173*,173*,-22,-102,16,,,-4.369
GainSure > GainRisky (Ado),R,"Right Superior Occipital Gyrus (45.2 %), Right Cuneus (30.5 %)",Right-SecVisual(18),377*,377*,12,-104,4,130,130,-3.415
,L,"Left Superior Occipital Gyrus (54.8 %), Left Middle Occipital Gyrus (32.4 %)",N/A,220*,220*,-12,-104,18,,,-4.073
GainRisk > GainSure (Ado),R,"43.1 % overlap with Right_Superior_Occipital_Gyrus, code 50
  25.1 % overlap with Right_Cuneus, code 46
  22.3 % overlap with Right_Calcarine_Gyrus, code 44",N / A,315*,315*,10,-102,2,128,128,-3.745
GainSure > GainRisk (Adu),R,"Right Calcarine Gyrus (40.4 %), Right Cuneus (38.6 %)",N/A,175*,175*,12,-100,18,118,118,-3.307
GainRisk > GainSure (Adu),R,"40.4 % overlap with Right_Calcarine_Gyrus, code 44
  38.6 % overlap with Right_Cuneus, code 46",N / A,175*,175*,12,-100,18,110,110,-3.307
LargeLossRisk>LargeLossSure (Ado),L,"68.1 % overlap with Left_Middle_Occipital_Gyrus, code 51
  
  21.8 % overlap with Left_Superior_Occipital_Gyrus, code 49",N / A,165*,165*,-14,-104,14,96,96,-3.347
LargeLossSure > LargeLossRisk (Ado),L,"68.1 % overlap with Left_Middle_Occipital_Gyrus, code 51
  
  21.8 % overlap with Left_Superior_Occipital_Gyrus, code 49",N / A,165*,165*,-14,-104,14,96,96,3.347
LargeGainSure>LargeGainRisk(Adu),R,"69.5 % overlap with Right_Inferior_Parietal_Lobule, code 62
  
  22.9 % overlap with Right_Angular_Gyrus, code 66",N/A,316*,316*,48,-60,56,128,128,-3.832
,R,"68.9 % overlap with Right_Middle_Frontal_Gyrus, code 8
  
  15.4 % overlap with Right_Inferior_Frontal_Gyrus_(p._Opercularis), code 12",N/A,285*,285*,56,30,36,,,-3.688
,L,"55.0 % overlap with Left_Cuneus, code 45
  
  10.6 % overlap with Left_Calcarine_Gyrus, code 43
  
  10.2 % overlap with Left_Precuneus, code 67",Left-SecVisual(18),143*,143*,-16,-60,18,,,3.72
,L,"80.3 % overlap with Left_SMA, code 19
  
  12.5 % overlap with Left_Superior_Medial_Gyrus, code 23",N/A,132*,132*,0,16,54,,,-3.725
LargeMediumLossSure>LargeMediumLossRisk (Ado),L,"44.3 % overlap with Left_Postcentral_Gyrus, code 57
  
  12.2 % overlap with Left_Precentral_Gyrus, code 1",N/A,289*,289*,-46,-42,68,143,143,-3.372
MediumLargeLossRisk>MediumLargeLossSure (ado),L,"44.3 % overlap with Left_Postcentral_Gyrus, code 57
  12.2 % overlap with Left_Precentral_Gyrus, code 1",,289,269,-46,-42,68,145,145,3.372
LargeSmallGainRIsk>LargeSmallGainSure (adu),R,"49.0 % overlap with Right_Middle_Cingulate_Cortex, code 34
  21.9 % overlap with Left_Anterior_Cingulate_Cortex, code 31
  20.3 % overlap with Right_Anterior_Cingulate_Cortex, code 32",,177*,177*,2,32,30,142,142,-3.767
SmallGainSure>SmallGainRisk (Adu),R,"38.5 % overlap with Right_Calcarine_Gyrus, code 44
  
  31.5 % overlap with Right_Cuneus, code 46
  
  12.5 % overlap with Right_Superior_Occipital_Gyrus, code 50",Right-SecVisual(18),102*,102*,16,-100,16,73,73,3.423
Large>Small (Ado),R,"33.6 % overlap with Right_Precuneus, code 68
  
  25.4 % overlap with Left_Precuneus, code 67
  
  11.4 % overlap with Right_Superior_Parietal_Lobule, code 60",Right-VisMotor(7),1442*,1442*,0,-52,68,150,150,-3.442
,L,"44.3 % overlap with Left_Inferior_Parietal_Lobule, code 61
  
  19.9 % overlap with Left_Angular_Gyrus, code 65",N/A,1087*,1087*,-32,-70,64,,,3.788
,R,"44.8 % overlap with Right_Inferior_Parietal_Lobule, code 62
  
  31.4 % overlap with Right_Angular_Gyrus, code 66
  
  15.7 % overlap with Right_Superior_Parietal_Lobule, code 60",N/A,782*,782*,32,-72,60,,,3.562
,L,"41.9 % overlap with Left_Precentral_Gyrus, code 1
  
  27.6 % overlap with Left_Middle_Frontal_Gyrus, code 7",N/A,518*,518*,-42,2,66,,,4.91
,L,"53.8 % overlap with Left_Superior_Medial_Gyrus, code 23
  
  14.2 % overlap with Right_Middle_Cingulate_Cortex, code 34",Right-FrontEyeFields(8),445*,445*,0,34,36,,,4.227
,R,"86.3 % overlap with Right_SupraMarginal_Gyrus, code 64",N/A,361*,361*,70,-24,34,,,-3.99
,L,"45.3 % overlap with Left_Insula_Lobe, code 29
  
  30.9 % overlap with Left_Superior_Temporal_Gyrus, code 81",N/A,342*,342*,-64,2,-6,,,-3.678
,L,"24.4 % overlap with Left_Cerebellum_(Crus_2), code 93
  
  17.1 % overlap with Right_Cerebellum_(Crus_2), code 94
  
  16.4 % overlap with Cerebellar_Vermis_(7), code 113
  
  15.4 % overlap with Right_Cerebellum_(Crus_1), code 92
  
  11.2 % overlap with Left_Cerebellum_(Crus_1), code 91",N/A,320*,320*,2,-84,-18,,,3.503
,L,"56.9 % overlap with Left_SupraMarginal_Gyrus, code 63",N/A,278*,278*,-68,-28,18,,,-3.77
,R,"71.1 % overlap with Right_Insula_Lobe, code 30",Right-Insula(13),203*,203*,42,-16,0,,,-3.906
,R,"50.6 % overlap with Right_Middle_Cingulate_Cortex, code 34
  
  42.5 % overlap with Left_Middle_Cingulate_Cortex, code 33",Right-VentAntCing(24),166*,166*,2,-16,48,,,-4.457
,L,"54.0 % overlap with Left_Fusiform_Gyrus, code 55
  
  20.6 % overlap with Left_ParaHippocampal_Gyrus, code 39
  
  11.8 % overlap with Left_Lingual_Gyrus, code 47",Right-Fusiform (37),160*,160*,32,-44,-10,,,-4.913
,R,"37.1 % overlap with Right_Rolandic_Operculum, code 18
  
  24.9 % overlap with Right_Temporal_Pole, code 84
  20.8 % overlap with Right_Insula_Lobe, code 30
  
  14.1 % overlap with Right_Superior_Temporal_Gyrus, code 82",Right-PreMot+SuppMot(6),153*,153*,66,6,4,,,-3.72
Large>Small (Adu),R,"25.8 % overlap with Right_Postcentral_Gyrus, code 58
  
  
  13.1 % overlap with Right_Precentral_Gyrus, code 2
  
  10.7 % overlap with Right_Middle_Cingulate_Cortex, code 34",N/A,4184*,4184*,44,-30,72,145,145,-4.441
,L,"42.5 % overlap with Left_Middle_Frontal_Gyrus, code 7
  
  26.3 % overlap with Left_Precentral_Gyrus, code 1
  
  12.2 % overlap with Left_Inferior_Frontal_Gyrus_(p._Triangularis), code 13",N/A,1875*,1875*,-34,6,70,,,4.026
,R,"28.7 % overlap with Right_Middle_Temporal_Gyrus, code 86
  
  26.9 % overlap with Right_SupraMarginal_Gyrus, code 64
  
  19.7 % overlap with Right_Superior_Temporal_Gyrus, code 82
  13.3 % overlap with Right_Rolandic_Operculum, code 18",N/A,1695*,1695*,66,-58,18,,,-3.305
,R,"26.6 % overlap with Right_Cerebellum_(Crus_2), code 94
  
  22.5 % overlap with Right_Cerebellum_(Crus_1), code 92
  
  14.5 % overlap with Right_Cerebellum_(VI), code 100
  
  13.2 % overlap with Left_Cerebellum_(Crus_2), code 93
  
  11.5 % overlap with Left_Cerebellum_(Crus_1), code 91",N/A,1652*,1652*,0,-84,-18,,,4.504
,R,"41.4 % overlap with Right_Inferior_Parietal_Lobule, code 62
  
  34.5 % overlap with Right_Angular_Gyrus, code 66
  
  12.0 % overlap with Right_Superior_Parietal_Lobule, code 60",N/A,1483*,1483*,32,-74,58,,,3.344
,L,"54.8 % overlap with Left_Inferior_Parietal_Lobule, code 61
  
  14.5 % overlap with Left_Superior_Parietal_Lobule, code 59
  13.9 % overlap with Left_Angular_Gyrus, code 65",N/A,1480*,1480*,-34,-70,62,,,3.706
,R,"56.2 % overlap with Right_Superior_Temporal_Gyrus, code 82
  
  16.0 % overlap with Right_Middle_Temporal_Gyrus, code 86
  
  14.7 % overlap with Right_Temporal_Pole, code 84",N/A,912*,912*,64,8,0,,,-3.419
,R,"64.8 % overlap with Right_Middle_Frontal_Gyrus, code 8
  
  10.1 % overlap with Right_Inferior_Frontal_Gyrus_(p._Triangularis), code 14",N/A,890*,890*,38,6,68,,,3.966
,L,"51.8 % overlap with Left_Superior_Temporal_Gyrus, code 81
  
  29.6 % overlap with Left_SupraMarginal_Gyrus, code 63",N/A,798*,798*,-70,-32,20,,,-3.3
,L,"33.7 % overlap with Left_Superior_Medial_Gyrus, code 23
  
  30.1 % overlap with Left_SMA, code 19
  
  18.5 % overlap with Right_SMA, code 20",N/A,792*,792*,0,22,48,,,4.513
,R,"48.8 % overlap with Right_Cuneus, code 46
  
  14.8 % overlap with Right_Calcarine_Gyrus, code 44
  
  13.4 % overlap with Right_Superior_Occipital_Gyrus, code 50
  10.6 % overlap with Right_Precuneus, code 68",Right-VisualAssoc(19),672*,672*,16,-88,44,,,-3.359
,L,"38.3 % overlap with Left_Superior_Temporal_Gyrus, code 81",N/A,671*,671*,-66,-4,4,,,-3.373
,L,"45.1 % overlap with Left_Middle_Frontal_Gyrus, code 7
  
  19.3 % overlap with Left_Middle_Orbital_Gyrus, code 9
  
  17.7 % overlap with Left_Inferior_Frontal_Gyrus_(p._Triangularis), code 13
  
  13.6 % overlap with 
 Left_Inferior_Frontal_Gyrus_(p._Orbitalis), code 15",N/A,543*,543*,-46,54,4,,,3.554
,L,"54.0 % overlap with Left_Cerebellum_(Crus_1), code 91
  
  31.0 % overlap with Left_Cerebellum_(Crus_2), code 93
  
  14.7 % overlap with Left_Cerebellum_(VI), code 99",N/A,459*,459*,-48,-78,-34,,,3.344
,L,"55.9 % overlap with Left_Superior_Occipital_Gyrus, code 49
  
  42.9 % overlap with Left_Cuneus, code 45",Left-VisualAssoc(19),305*,305*,-16,-92,34,,,3.297
,R,"21.6 % overlap with Right_Amygdala, code 42
  
  15.7 % overlap with Right_Hippocampus, code 38
  
  15.2 % overlap with Right_Insula_Lobe, code 30",Right-Amygdala,291*,291*,26,4,-18,,,-3.724
,L,"50.5 % overlap with Left_Middle_Occipital_Gyrus, code 51
  
  30.7 % overlap with Left_Middle_Temporal_Gyrus, code 85",N/A,251*,251*,-56,-76,6,,,-3.293
,L,"48.2 % overlap with Left_Fusiform_Gyrus, code 55
  
  23.4 % overlap with Left_ParaHippocampal_Gyrus, code 39
  
  18.6 % overlap with Left_Lingual_Gyrus, code 47",Left-VisualAssoc(19),190*,190*,-28,-46,-8,,,-4.207
,L,"53.0 % overlap with Left_Middle_Occipital_Gyrus, code 51",Left-SecVisual(18),188*,188*,-42,-90,-4,,,-3.471
,L,"49.0 % overlap with Left_Calcarine_Gyrus, code 43",N/A,170*,170*,-16,-62,-36,,,-4.546
,R,"31.5 % overlap with Right_Olfactory_cortex, code 22
  
  19.0 % overlap with Left_Caudate_Nucleus, code 71
  12.7 % overlap with 
  
 Left_Olfactory_cortex, code 21",N/A,166*,166*,0,16,8,,,-4.219
Small > Large (Ado),R,"23.1 % overlap with Right_Precuneus, code 68
  19.7 % overlap with Left_Precuneus, code 67
  11.9 % overlap with Right_Middle_Cingulate_Cortex, code 34
  11.2 % overlap with Left_Middle_Cingulate_Cortex, code 33",Right-VisMotor (7),2256*,2256*,0,-52,68,161,161,3.5794
,L,"43.2 % overlap with Left_Inferior_Parietal_Lobule, code 61
  18.4 % overlap with Left_Angular_Gyrus, code 65",N/A,1401*,1401*,-32,-70,64,,,-3.807
,R,"43.5 % overlap with Right_Inferior_Parietal_Lobule, code 62
  29.6 % overlap with Right_Angular_Gyrus, code 66
  17.2 % overlap with Right_Superior_Parietal_Lobule, code 60",N/A,1197*,1197*,46,-56,62,,,-4.0081
,L,"34.4 % overlap with Left_Insula_Lobe, code 29
  30.0 % overlap with Left_Superior_Temporal_Gyrus, code 81
  13.8 % overlap with Left_Rolandic_Operculum, code 17",N/A,1096*,1096*,-66,-4,4,,,3.4402
,L,"43.8 % overlap with Left_Superior_Medial_Gyrus, code 23
  19.4 % overlap with Left_SMA, code 19
  15.8 % overlap with Right_Superior_Medial_Gyrus, code 24
  10.1 % overlap with Right_Middle_Cingulate_Cortex, code 34",Right-FrontEyeFields (8),667*,667*,0,34,36,,,-4.7563
,L,"40.8 % overlap with Left_Precentral_Gyrus, code 1
  29.4 % overlap with Left_Middle_Frontal_Gyrus, code 7",N/A,649*,649*,-48,2,60,,,-5.3284
,R,"82.7 % overlap with Right_SupraMarginal_Gyrus, code 64",N/A,642*,642*,70,-22,34,,,3.3335
,R,"24.3 % overlap with Right_Cerebellum_(Crus_1), code 92
  20.9 % overlap with Left_Cerebellum_(Crus_2), code 93
  16.2 % overlap with Right_Cerebellum_(VI), code 100
  10.1 % overlap with Left_Cerebellum_(Crus_1), code 91",N/A,580*,580*,2,-86,-20,,,-3.9699
,L,"54.0 % overlap with Left_SupraMarginal_Gyrus, code 63",N/A,559*,559*,-68,-30,44,,,3.703
,R,"72.1 % overlap with Right_Middle_Frontal_Gyrus, code 8",N/A,532*,532*,48,22,52,,,-4.0459
,R,"31.5 % overlap with Right_Rolandic_Operculum, code 18
  28.5 % overlap with Right_Insula_Lobe, code 30
  16.8 % overlap with Right_Superior_Temporal_Gyrus, code 82
  15.0 % overlap with Right_Temporal_Pole, code 84",Right-PreMot+SuppMot (6),446*,446*,66,6,4,,,3.9244
,R,"63.5 % overlap with Right_Insula_Lobe, code 30",Right-Insula (13),278*,278*,40,2,-14,,,3.33
,L,"47.7 % overlap with Left_Fusiform_Gyrus, code 55
  20.0 % overlap with Left_ParaHippocampal_Gyrus, code 39
  16.8 % overlap with Left_Lingual_Gyrus, code 47",Left-Fusiform (37),262*,262*,-30,-46,-8,,,5.2615
,L,"46.2 % overlap with Left_Middle_Cingulate_Cortex, code 33
  34.0 % overlap with Right_Middle_Cingulate_Cortex, code 34
  11.8 % overlap with Right_SMA, code 20",Left-PreMot+SuppMot (6),259*,259*,-2,2,46,,,3.7664
Small > Large (Adu),R,"25.8 % overlap with Right_Postcentral_Gyrus, code 58
  13.1 % overlap with Right_Precentral_Gyrus, code 2
  10.7 % overlap with Right_Middle_Cingulate_Cortex, code 34",N/A,4184*,4184*,44,-30,72,149,149,4.4409
,L,"42.5 % overlap with Left_Middle_Frontal_Gyrus, code 7
  26.3 % overlap with Left_Precentral_Gyrus, code 1
  12.2 % overlap with Left_Inferior_Frontal_Gyrus_(p._Triangularis), code 13",N/A,1875*,1875*,-34,6,70,,,-4.0262
,R,"28.7 % overlap with Right_Middle_Temporal_Gyrus, code 86
  26.9 % overlap with Right_SupraMarginal_Gyrus, code 64
  19.7 % overlap with Right_Superior_Temporal_Gyrus, code 82
  13.3 % overlap with Right_Rolandic_Operculum, code 18",N/A,1695*,1695*,66,-58,18,,,3.3045
,R,"26.6 % overlap with Right_Cerebellum_(Crus_2), code 94
  22.5 % overlap with Right_Cerebellum_(Crus_1), code 92
  14.5 % overlap with Right_Cerebellum_(VI), code 100
  13.2 % overlap with Left_Cerebellum_(Crus_2), code 93
  11.5 % overlap with Left_Cerebellum_(Crus_1), code 91",N/A,1652*,1652*,0,-84,-18,,,-4.5038
,R,"41.4 % overlap with Right_Inferior_Parietal_Lobule, code 62
  34.5 % overlap with Right_Angular_Gyrus, code 66
  12.0 % overlap with Right_Superior_Parietal_Lobule, code 60",N/A,1483*,1483*,32,-74,58,,,-3.3439
,L,"54.8 % overlap with Left_Inferior_Parietal_Lobule, code 61
  14.5 % overlap with Left_Superior_Parietal_Lobule, code 59
  13.9 % overlap with Left_Angular_Gyrus, code",N/A,1480*,1480*,-34,-70,62,,,-3.7058
,R,"56.2 % overlap with Right_Superior_Temporal_Gyrus, code 82
  16.0 % overlap with Right_Middle_Temporal_Gyrus, code 86
  14.7 % overlap with Right_Temporal_Pole, code 84",N/A,912*,912*,64,8,0,,,3.4194
,R,"64.8 % overlap with Right_Middle_Frontal_Gyrus, code 8
  10.1 % overlap with Right_Inferior_Frontal_Gyrus_(p._Triangularis), code 14",N/A,890*,890*,38,6,68,,,-3.9664
,L,"51.8 % overlap with Left_Superior_Temporal_Gyrus, code 81
  29.6 % overlap with Left_SupraMarginal_Gyrus, code 63",N/A,798*,798*,-70,-32,20,,,3.3002
,L,"33.7 % overlap with Left_Superior_Medial_Gyrus, code 23
  30.1 % overlap with Left_SMA, code 19
  18.5 % overlap with Right_SMA, code 20",N/A,792*,792*,0,22,48,,,-4.5125
,R,"48.8 % overlap with Right_Cuneus, code 46
  14.8 % overlap with Right_Calcarine_Gyrus, code 44
  13.4 % overlap with Right_Superior_Occipital_Gyrus, code 50
  10.6 % overlap with Right_Precuneus, code 68",Right-VisualAssoc (19),672*,672*,16,-88,44,,,3.3592
,L,"38.3 % overlap with Left_Superior_Temporal_Gyrus, code 81",N/A,671*,671*,-66,-4,4,,,3.3731
,L,"45.1 % overlap with Left_Middle_Frontal_Gyrus, code 7
  19.3 % overlap with Left_Middle_Orbital_Gyrus, code 9
  17.7 % overlap with Left_Inferior_Frontal_Gyrus_(p._Triangularis), code 13
  13.6 % overlap with Left_Inferior_Frontal_Gyrus_(p._Orbitalis), code 15",N/A,543*,543*,-46,54,4,,,-3.3554
,L,"54.0 % overlap with Left_Cerebellum_(Crus_1), code 91
  31.0 % overlap with Left_Cerebellum_(Crus_2), code 93
  14.7 % overlap with Left_Cerebellum_(VI), code 99",N/A,459*,459*,-48,-78,-34,,,-3.3439
,L,"55.9 % overlap with Left_Superior_Occipital_Gyrus, code 49
  42.9 % overlap with Left_Cuneus, code 45",Left-VisualAssoc (19),305*,305*,-16,-92,34,,,3.2965
,R,"21.6 % overlap with Right_Amygdala, code 42
  15.7 % overlap with Right_Hippocampus, code 38
  15.2 % overlap with Right_Insula_Lobe, code 30",Right-Amgydala,291*,291*,26,4,-18,,,3.7243
,L,"50.5 % overlap with Left_Middle_Occipital_Gyrus, code 51
  30.7 % overlap with Left_Middle_Temporal_Gyrus, code 85",N/A,251*,251*,-56,-76,6,,,3.2934
,L,"48.2 % overlap with Left_Fusiform_Gyrus, code 55
  23.4 % overlap with Left_ParaHippocampal_Gyrus, code 39
  18.6 % overlap with Left_Lingual_Gyrus, code 47",Left-VisualAssoc (19),190*,190*,-28,-46,-8,,,4.2072
,L,"53.0 % overlap with Left_Middle_Occipital_Gyrus, code 51",N/A,188*,188*,-42,-90,22,,,3.4705
,L,"49.0 % overlap with Left_Calcarine_Gyrus, code 43",Left-SecVisual (18),170*,170*,-16,-62,16,,,4.5461
,R,"31.5 % overlap with Right_Olfactory_cortex, code 22
  19.0 % overlap with Left_Caudate_Nucleus, code 71
  12.7 % overlap with Left_Olfactory_cortex, code 21",N/A,166*,166*,0,16,-8,,,4.2191
LargeGain > SmallGain (Ado),R,"Right Precuneus (52.3 %), Right Superior Parietal Lobule (17.2 %)",Right-VisMotor(7),732*,732*,4,-62,58,148,148,-4.351
,L,Left SupraMarginal Gyrus (49.8 %),N/A,545*,545*,-68,-32,44,,,-4.478
,L,"Left Precuneus (60.1 %), Left Superior Parietal Lobule (39.9 %)",Left-VisMotor(7),284*,284*,-12,-56,74,,,-3.354
,R,Right SupraMarginal Gyrus (88.6 %),N/A,243*,243*,68,-32,46,,,-3.822
